Document_Number,Subject,Status,Category,Topics,Title,Content,Measure,Year,ATCM,Feature,City
486,"ASPA No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 8 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling Measure 1 (2006), which designated Edmonson Point, Wood Bay, Ross Sea as ASPA 165 and annexed a Management Plan for the Area;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 165;Desiring to replace the existing Management Plan for ASPA 165 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea), which is annexed to this Measure, be approved; and2.	the Management Plan for ASPA 165 annexed to Measure 1 (2006) shall cease to be effective.",Measure 8,2011,ATCM XXXIV,CEP XIV,
485,"ASPA No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 7 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling-	Recommendation IV-11 (1966), which designated Cape Sherriff and San Telmo Island, Livingston Island, South Shetland Islands as Specially Protected Area (“SPA”) No 11;-	Recommendation XV-7 (1989), which terminated SPA 11 and redesignated the area as Site of Special Scientific Interest (“SSSI”) No 32 and annexed a Management Plan for the site;-	Resolution 3 (1996), which extended the expiry date of SSSI 32 from 31 December 1999 to 31 December 2000;-	Measure 2 (2000), which extended the expiry date of SSSI 32 from 31 December 2000 to 31 December 2005;-	Decision 1 (2002), which renamed and renumbered SPA 11 as ASPA 149;-	Measure 2 (2005), which adopted a revised Management Plan for ASPA 149;Recalling that Recommendation XV-7 (1989) and Measure 2 (2000) have not become effective, and that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendation XV-7 (1989) and Resolution 3 (1996) are designated as no longer current by Decision E (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 149;Desiring to replace the existing Management Plan for ASPA 149 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 149 (Cape Sheriff and San Telmo Island, Livingston Island, South Shetland Islands), which is annexed to this Measure, be approved; and2.	the Management Plan for ASPA 149 annexed to Measure 2 (2005) shall cease to be effective.",Measure 7,2011,ATCM XXXIV,CEP XIV,
484,"ASPA No 131 (Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 6 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 131 (Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation XIII-8 (1985), which designated Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land as Site of Special Scientific Interest (“SSSI”) No 12 and annexed a Management Plan for the site;·	Recommendation XVI-7 (1987), which extended the expiry date of SSSI 12 to 31 December 2001;·	Measure 3 (1997), which adopted a revised Management Plan for SSSI 12;·	Decision 1 (2002), which renamed and renumbered SSSI 12 as ASPA 131;Measure 1 (2006), which adopted a revised Management Plan for ASPA 131;Recalling that Measure 3 (1997) has not become effective;Recalling that Recommendation XVI-7 (1987) has not become effective and that it is designated as no longer current by Decision E (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 131;Desiring to replace the existing Management Plan for ASPA 131 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 131 (Canada Glacier, Lake Fryxell, Taylor Valley, Victoria Land), which is annexed to this Measure, be approved;2.	the prior Management Plans for ASPA 131, including the one annexed to Measure 1 (2006), shall cease to be effective; and3.	Measure 3 (1997), which has not become effective, be withdrawn.",Measure 6,2011,ATCM XXXIV,CEP XIV,
483,ASPA No 127 (Haswell Island): Revised Management Plan,Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 5 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 127 (Haswell Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation VIII-4 (1975), which designated Haswell Island as Site of Special Scientific Interest (“SSSI”) No 7 and annexed a Management Plan for the site;·	Recommendation X-6 (1979), which extended the expiry date of SSSI 7 from 30 June 1981 to 30 June 1983;·	Recommendation XII-5 (1983), which extended the expiry date of SSSI 7 from 30 June 1983 to 31 December 1985;·	Recommendation XIII-7 (1985), which extended the expiry date of SSSI 7 from 31 December 1985 to 31 December 1991;·	Recommendation XVI-7 (1987), which extended the expiry date of SSSI 7 from 31 December 1991 to 31 December 2001;·	Measure 3 (2001), which extended the expiry date of SSSI 7 from 31 December 2001 to 31 December 2005;·	Decision 1 (2002), which renamed and renumbered SSSI 7 as ASPA 127;·	Measure 4 (2005), which extended the expiry date of the Management Plan of ASPA 127 from 31 December 2005 to 31 December 2010;·	Measure 1 (2006), which adopted a revised Management Plan for ASPA 127;Recalling that Recommendation VIII-4 (1975), Recommendation X-6 (1979), Recommendation XII-5 (1983),Recommendation XIII-7 (1985) and Recommendation XVI-7 (1987) are designated as no longer current by Decision E (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 127;Desiring to replace the existing Management Plan for ASPA 127 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 127 (Haswell Island), which is annexed to this Measure, be approved; and2.	the prior Management Plans for ASPA 127, namely those annexed to Recommendation VIII-4 (1975) and Measure 1 (2006), shall cease to be effective.",Measure 5,2011,ATCM XXXIV,CEP XIV,
482,"ASPA No 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 4 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 126 (Byers Peninsula, Livingston Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation IV-10 (1966), which designated Byers Peninsula, Livingstone Island, South Shetland Islands as Specially Protected Area (“SPA”) No 10;·	Recommendation VIII-2 (1975), which terminated SPA 10, and Recommendation VIII-4 (1975), which redesignated the area as Site of Special Scientific Interest (“SSSI”) No 6 and annexed the first Management Plan for the site;·	Recommendation X-6 (1979), which extended the expiry date of SSSI 6 from 30 June 1981 to 30 June 1985;·	Recommendation XII-5 (1983), which extended the expiry date of SSSI 6 from 30 June 1985 to 31 December 1985;·	Recommendation XIII-7 (1985), which extended the expiry date of SSSI 6 from 31 December 1985 to 31 December 1995;·	Recommendation XVI-5 (1991), which adopted a revised Management Plan for SSSI 6;·	Measure 3 (2001), which extended the expiry date of SSSI 6 from 31 December 1995 to 31 December 2005;·	Decision 1 (2002) which renamed and renumbered SSSI 6 as ASPA 126;·	Measure 1 (2002), which adopted a revised Management Plan for SSSI 6;Recalling that Recommendation XVI-5 (1991) and Measure 3 (2001) have not become effective;Recalling that Recommendation VIII-2 (1975), Recommendation X-6 (1979), Recommendation XII-5 (1983), Recommendation XIII-7 (1985) and Recommendation XVI-5 (1991) are designated as no longer current by Decision E (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 122;Desiring to replace the existing Management Plan for ASPA 126 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 126 (Byers Peninsula, Livingston Island, South Shetland Islands), which is annexed to this Measure, be approved;2.	the prior Management Plans for ASPA 126, including the one annexed to Measure 1 (2002), shall cease to be effective; and3.	Recommendation XVI-5 (1991) and Measure 3 (2001), which have not become effective, be withdrawn.",Measure 4,2011,ATCM XXXIV,CEP XIV,
481,"ASPA No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 3 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation VIII-4 (1975), which designated Arrival Heights, Hut Point Peninsula, Ross Island as Site of Special Scientific Interest (“SSSI”) No 2 and annexed a Management Plan for the site;·	Recommendation X-6 (1979), which extended the expiry date of SSSI 2 from 30 June 1981 to 30 June 1985;·	Recommendation XII-5 (1983), which extended the expiry date of SSSI 2 from 30 June 1985 to 31 December 1985;·	Recommendation XIII-7 (1985), which extended the expiry date of SSSI 2 from 31 December 1985 to 31 December 1987;·	Recommendation XIV-4 (1987), which extended the expiry date of SSSI 2 from 31 December 1987 to 31 December 1997;·	Resolution 3 (1996), which extended the expiry date of SSSI 2 from 31 December 1997 to 31 December 2000;·	Measure 2 (2000), which extended the expiry date of SSSI 2 from 31 December 2000 to 31 December 2005;·	Decision 1 (2002), which renamed and renumbered SSSI 2 as ASPA 122;·	Measure 2 (2004), which adopted a revised Management Plan for ASPA 122;Recalling that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendation VIII-4 (1975), Recommendation X-6 (1979), Recommendation XII-5 (1983), Recommendation XIII-7 (1985), Recommendation XIV-4 (1987), and Resolution 3 (1996) are designated as no longer current by Decision E (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 122;Desiring to replace the existing Management Plan for ASPA 122 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island), which is annexed to this Measure, be approved; and2.	the Management Plan for ASPA 122 annexed to Measure 2 (2004) shall cease to be effective.",Measure 3,2011,ATCM XXXIV,CEP XIV,
480,"ASPA No 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 2 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 120 (Pointe-Géologie Archipelago, Terre Adélie): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Measure 3 (1995), which designated Pointe-Géologie Archipelago as Specially Protected Area (“SPA”) No 24 and annexed a Management Plan for the Area;·	Decision 1 (2002), which renamed and renumbered SPA 24 as ASPA 120;·	Measure 2 (2005), which adopted a revised Management Plan for ASPA 120;Recalling that Measure 3 (1995) has not become effective;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 120;Desiring to replace the existing Management Plan for ASPA 120 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 120 (Pointe-Géologie Archipelago, Terre Adélie), which is annexed to this Measure, be approved;2.	the Management Plan for ASPA 120 annexed to Measure 2 (2005) shall cease to be effective; and3.	Measure 3 (1995), which has not become effective, be withdrawn.",Measure 2,2011,ATCM XXXIV,CEP XIV,
479,"ASPA No 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management Plan",Effective 29/09/2011 (Fast Approval),Area protection and management,Area protection and management,"Measure 1 (2011) - ATCM XXXIV - CEP XIV, Buenos Aires","Antarctic Specially Protected Area No 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling·	Recommendation XIII-8 (1985), which designated Caughley Beach as Site of Special Scientific Interest (“SSSI”) No 10 and annexed a Management Plan for the site;·	Recommendation XIII-12 (1985), which designated New College Valley as Specially Protected Area (“SPA”) No 20;·	Recommendation XVI-7 (1991), which extended the expiry date of SSSI 10 to 31 December 2001;·	Recommendation XVII-2 (1992), which annexed a Management Plan for SPA 20;·	Measure 1 (2000), which expanded SPA 20 to incorporate Caughley Beach, annexed a revised Management Plan for the Area, and provided that thereupon SSSI 10 shall cease to exist;·	Decision 1 (2002), which renamed and renumbered SPA 20 as ASPA 116;·	Measure 1 (2006), which adopted a revised Management Plan for ASPA 116;Recalling that Recommendation XVI-7 (1991) and Measure 1 (2000) have not become effective, and that Recommendation XVII-2 (1992) was withdrawn by Measure 1 (2010);Recalling that Recommendation XIII-12 (1985) and Recommendation XVI-7 (1991) are designated as no longer current by Decision E (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 116;Desiring to replace the existing Management Plan for ASPA 116 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1.	the revised Management Plan for Antarctic Specially Protected Area No 116 (New College Valley, Caughley Beach, Cape Bird, Ross Island), which is annexed to this Measure, be approved; and2.	the prior Management Plans for ASPA 116, namely those annexed to Recommendation XIII-8 (1985), Measure 1 (2000) and Measure 1 (2006), shall cease to be effective.",Measure 1,2011,ATCM XXXIV,CEP XIV,
478,Signing of the Headquarters Agreement,Adopted 14/05/2010,Institutional & legal matters,Institutional & legal matters,"Other, adopted by ATCM XXXIII - CEP XIII (Punta del Este, 2010)","On 12 May 2010, pursuant to the entry into force of Measure 1(2003), the Minister of Foreign Affairs of the Republic of Argentina, Jorge Taiana and Dr Roberto Puceiro Ripoll, Chair of ATCM XXXIII, signed the Headquarters Agreement for the Secretariat of the Antarctic Treaty.  The Foreign Minister welcomed the confidence expressed by the Treaty Parties in deciding to base its Secretariat in Argentina.  The Chair of ATCM XXXIII thanked Argentina for the facilities given by this Headquarters Agreement.  The Meeting expressed its appreciation for the Foreign Minister’s remarks.(Paragraph 11 of the ATCM XXXIII Final Report)",,2010,ATCM XXXIII,CEP XIII,
477,Enhancement of port State control for passenger vessels bound for the Antarctic Treaty area,Adopted 14/05/2010,Operational matters,Operational matters,"Resolution 7 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","Enhancement of port State control for passenger vessels bound for the Antarctic Treaty areaThe Representatives,Recalling Resolution 8 (2009) regarding a Mandatory shipping code for vessels operating in Antarctic waters;Welcoming the start of work by the International Maritime Organization in February 2010 on a mandatory International Code of safety for ships operating in polar waters (Polar Code);Acknowledging the duties of the flag State as set out in article 94 of the United Nations Convention on the Law of the Sea which include inter alia the taking of such measures for vessels flying its flag as are necessary to ensure safety at sea;Noting articles 218 and 219 of the United Nations Convention on the Law of the Sea regarding Enforcement by port States and Measures relating to seaworthiness of vessels to avoid pollution;Recalling the requirements of the International Convention on the Safety of Life at Sea (SOLAS) 1974; the International Convention for the Prevention of Pollution from Ships 1973, as modified by the Protocol of 1978 relating thereto (MARPOL); the International Convention on Standards of Training, Certification and Watchkeeping for Seafarers (STCW) 1978; and the Protocol on Environmental Protection to the Antarctic Treaty;Conscious that many passenger vessels operating in the Antarctic Treaty area are not flagged to States which are Parties to the Antarctic Treaty or to its Protocol on Environmental Protection;Concerned about recent incidents involving passenger vessels in the Antarctic Treaty area;Recommend:That the Parties proactively apply, through their national maritime authorities, the existing regime of port State control to passenger vessels bound for the Antarctic Treaty area.",Resolution 7,2010,ATCM XXXIII,CEP XIII,
476,Improving the co-ordination of maritime search and rescue in the Antarctic Treaty area,Adopted 14/05/2010,Operational matters,Operational matters,"Resolution 6 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","Improving the co-ordination of maritime search and rescue in the Antarctic Treaty areaThe Representatives,Aware of the increase in vessel traffic, in particular passenger vessel traffic, in the Antarctic Treaty area;Concerned about the possible risk of accidents involving these ships and the resulting harm to both persons and the environment;Recalling the work of the International Maritime Organization (IMO) in the field of maritime safety and rescue;Recalling the key outcomes and recommendations from the COMNAP Antarctic SAR Workshops I (Valparaiso, 2008) and the COMNAP Antarctic SAR Workshop II (Buenos Aires, 2009);Recalling the work of the Antarctic Treaty Meeting of Experts on Management of Ship-borne  tourism (Wellington, 2009);Recalling Measure 4 (2004) and Resolution 6 (2008);Recognising the value and importance of the search and rescue systems and procedures established under the auspices of the IMO, in particular as regards the network of Search and Rescue Regions and the corresponding Maritime Rescue Coordination Centres (MRCC);Noting that these MRCCs have systems able to maintain the confidentiality of information transmitted by vessels and collected by the Centres;Wishing to improve the coordination of maritime search and rescue efforts in the Antarctic Treaty area;Recommend:That their Governments recognise the importance of ensuring the effectiveness of search and rescue efforts by:1)	placing on the  Antarctic Treaty Secretariat (“the Secretariat”) website regular and up-to-date search and rescue related information, using the most appropriate technical means (e.g. through the Electronic Information Exchange System - EIES), of coastal stations facilities as well as the availability of sea and air assets in the Antarctic Treaty area;2)	making available in advance vessel schedules of national Antarctic programmes and tourist operators to the Secretariat (e.g. through the EIES) which then would be available to all MRCC  to access; and3)	encouraging national Antarctic programmes and  operators of tourist vessels not participating in the COMNAP and IAATO vessel tracking schemes to report the positions of their vessels regularly to the relevant regional MRCC.",Resolution 6,2010,ATCM XXXIII,CEP XIII,
475,Co-ordination among Antarctic Treaty Parties on Antarctic proposals under consideration in the IMO,Adopted 14/05/2010,Marine pollution,Marine pollution,"Resolution 5 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","Co-ordination among Antarctic Treaty Parties on Antarctic proposals under consideration in the IMOThe Representatives:Noting the steps taken by the Antarctic Treaty Parties to promote the safety of life at sea and environmental protection in the Antarctic Treaty area;Acknowledging the role of the International Maritime Organization (“IMO”) in aspects of maritime safety and security and the prevention of pollution from ships in the Antarctic Treaty area;Recalling previous cooperation between the IMO and the Antarctic Treaty Consultative Meeting (“ATCM”), including requests by the ATCM for the IMO to take steps relating to Antarctic maritime matters;Emphasising the desirability of IMO attendance at the ATCM and recalling the ATCM’s regular invitations to the IMO to attend as an expert;Welcoming the adoption by the IMO of Guidelines for Ships Operating in Polar Waters and the work initiated in the IMO to develop a mandatory code for polar shipping and emphasising the valuable contribution the Parties can make to its development and expeditious conclusion;Welcoming the adoption by the IMO of a ban on the use and carriage by vessels of heavy grades of oil in the Antarctic Treaty area, following requests by the ATCM;Noting the desire of the Parties to ensure that regulatory actions relating to shipping in the Antarctic Treaty area are consistent with the objectives of the Antarctic Treaty and its Protocol on Environmental Protection and take into account the conduct of Antarctic activities including, inter alia, operations of national Antarctic programmes, in light of the specific circumstances of the Antarctic environment;Emphasising the importance of representatives to the ATCM working closely with their national IMO representatives on matters relating to the Antarctic Treaty area;Noting the desirability of timely consideration within the IMO of proposals relating to the Antarctic Treaty area;Recommend:That when a Party or group of Parties initiates a proposal to the ATCM that results in a referral by the ATCM to the IMO concerning matters relevant to the Antarctic Treaty area, the initiating Party or group of Parties:1)	report to the ATCM on the anticipated timeline for consideration of the matter referred by the ATCM, including the schedule of IMO meetings and processes;2)	report to the ATCM on the progress of the matter referred by the ATCM within the IMO, including key issues or changes that may arise in IMO deliberations;3)	report intersessionally to the Parties through the Secretariat or other suitable mechanism (e.g. web-based discussion forum), where appropriate, after IMO meetings where the matter referred by the ATCM is considered; and4)	inform the ATCM when further action may need to be considered in order to further the objectives of the ATCM.",Resolution 5,2010,ATCM XXXIII,CEP XIII,
474,SCAR Antarctic Climate Change and the Environment Report,Adopted 14/05/2010,Scientific cooperation,Scientific cooperation,"Resolution 4 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","SCAR Antarctic Climate Change and the Environment ReportThe Representatives,Recognising that the Antarctic region offers a unique environment for the study of climate change;Recalling the Washington Ministerial Declaration on the fiftieth anniversary of the signing of the Antarctic Treaty, in which Ministers from all Antarctic Treaty Consultative Parties noted their concern over the implications of global environmental change, in particular climate change, for the Antarctic environment and dependent and associated ecosystems and confirmed their intention to work together to better understand changes to the Earth’s climate and to actively seek ways to address the effects of climate and environmental change on the Antarctic environment and dependent and associated ecosystems;Welcoming the report on Antarctic Climate Change and the Environment (ACCE) by the Scientific Committee on Antarctic Research (SCAR) as a first step in compiling a comprehensive assessment of scientific information on the climate system in the Antarctic region;Concerned by the findings of the ACCE report that effects of climate change are already occurring in the Antarctic region;Recommend that their Governments:1)	forward copies of the SCAR ACCE report to their respective departments and agencies engaged in climate change negotiations;2)	encourage dissemination of the findings of the SCAR ACCE report and of ongoing Antarctic climate change research to the general public and the media;3)	forward copies of the SCAR ACCE report to their national Antarctic science and research bodies, and encourage them to consider fully the findings and recommendations from the report; and4)	welcome regular updates by SCAR on Antarctic climate change and its implications.",Resolution 4,2010,ATCM XXXIII,CEP XIII,
473,Revised Antarctic inspection Checklist “A”,Adopted 14/05/2010,Institutional & legal matters,Institutional & legal matters,"Resolution 3 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","Revised Antarctic inspection Checklist “A”The Representatives,Taking into account Resolution 5 (1995) “Antarctic inspection checklists” which proposes a number of checklists to guide the planning and conduct of inspections under Article VII of the Antarctic Treaty, including, among others, Checklist “A” Antarctic Stations and Subsidiary Installations;Considering the extensive use made of the checklists since the adoption of Resolution 5 (1995), which has made it possible to evaluate their practical implementation;Noting the evolution of the Antarctic Treaty system since the adoption of Resolution 5 (1995), including, inter alia, the entry into force of the Protocol on Environmental Protection to the Antarctic Treaty and the establishment of the Antarctic Treaty Secretariat and its Electronic Information Exchange System;Reaffirming that inspection checklists are useful as guidelines for those planning and conducting inspections under Article VII of the Antarctic Treaty and in assessing implementation of the provisions of the Protocol on Environmental Protection to the Antarctic Treaty;Noting that inspection checklists are not mandatory and are not to be used as a questionnaire;Desiring to update Checklist “A” to simplify the inspection process and make it more effective;Recommend:That the  Consultative Parties adopt the revised Checklist “A” attached, replacing the original Checklist “A”, contained in Resolution 5 (1995).",Resolution 3,2010,ATCM XXXIII,CEP XIII,
472,The contribution of the IPY to hydrographic knowledge of waters of the Antarctic Treaty area,Adopted 14/05/2010. No longer current:D 1 (2014),Scientific cooperation,Scientific cooperation,"Resolution 2 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","The contribution of the IPY to hydrographic knowledge of waters of the Antarctic Treaty areaThe Representatives,Considering the appeal made by the Hydrographic Commission on Antarctica (HCA) of the International Hydrographic Organization (IHO) with respect to improving collection of hydrographic data and charting in the Antarctic region;Noting the increase in scientific expeditions in the Southern Ocean in the Antarctic Treaty area, as part of the International Polar Year (IPY) 2007 - 2008;Noting also other relevant charting surveys of the Southern Ocean in the Antarctic Treaty area;Considering that vessels of the National Antarctic Programmes and others linked to the IPY are being urged to compile, whenever possible, hydrographic and bathymetric data on all Antarctic voyages;Acknowledging that access to and management of observations and data collected during the IPY is fundamental to ensuring the legacy of the IPY;Taking into account the fact that new forms of data forwarding have been developed since the publication of Resolution 5 (2008);Taking into account also Recommendation  No. 4 of the Antarctic Treaty Meeting of Experts on  Management of Ship-borne Tourism in the Antarctic Treaty Area, which was held in Wellington, New Zealand on 9-11 December 2009, to continue contributing to the information about hydrographic survey and cartography;Recommend that their Governments:1) Support and promote contacts and liaison between National Antarctic Programmes and national hydrographic offices;2) Endeavour to ensure that hydrographic and bathymetric data collected by the National Antarctic Programmes’ ships and others linked with their activity in the Antarctic, be forwarded by the National Antarctic Programmes, or by other means, to the national hydrographic services using the IHO Collection and Rendering of Hydrographic Data Form;3) Encourage National Antarctic Programmes to work with their national hydrographic offices to assist the HCA in producing a full inventory of hydrographic data so that they can be considered for use in the production of international nautical charts under the international charting scheme coordinated by the HCA;4) Promote liaison and cooperation between national hydrographic offices and the HCA to ensure the legacy of the IPY in the field of hydrography, thereby contributing to the improvement of nautical charts and the safety of navigation in waters of the Antarctic Treatyarea, which in turn will help safeguard life at sea, protect the Antarctic environment, and further support scientific activities;  and5) Continue contributing to the report of hydrographic and bathymetric data, using appropriate instruments of their hydrographic services or offices and the IHO Collection and Rendering of Hydrographic Data Form to ensure a timely production of Antarctic nautical charts.",Resolution 2,2010,ATCM XXXIII,CEP XIII,
471,Site Guidelines for visitors,Adopted 14/05/2010. No longer current:R 4 (2011),Tourism and Non-Governmental Activities,Tourism and Non-Governmental Activities,"Resolution 1 (2010) - ATCM XXXIII - CEP XIII, Punta del Este","Site Guidelines for visitorsThe Representatives,Recalling Resolution 5 (2005), Resolution 2 (2006), Resolution 1 (2007), Resolution 2 (2008) and Resolution 4 (2009) which adopted lists of sites subject to Site Guidelines;Believing that Site Guidelines enhance the provisions set out in Recommendation XVIII-1 (Guidance for those organising and conducting tourism and non-Governmental activities in the Antarctic);Desiring to increase the number of Site Guidelines developed for visited sites;Confirming that the term “visitors” does not include scientists conducting research within such sites, or individuals engaged in official governmental activities;Noting that the Site Guidelines have been developed based on the current levels and types of visits at each specific site, and aware that the Site Guidelines would require review if there were any significant changes to the levels or types of visits to a site;Believing that the Site Guidelines for each site must be reviewed and revised promptly in response to changes in the levels and types of visits, or in any demonstrable or likely environmental impacts;Recommend:1)	that the list of sites subject to Site Guidelines that have been adopted by the Antarctic Treaty Consultative Meeting (“ATCM”) be extended to include a further four new sites. The full list of sites subject to Site Guidelines is annexed to this Resolution;2)	that the Antarctic Treaty Secretariat place the texts of such ""Site Guidelines"", as adopted by the ATCM, on the website of the Secretariat;3)	that any proposed amendment to existing Site Guidelines be discussed by the Committee for Environmental Protection (“CEP”) which should advise the ATCM accordingly. If such advice is endorsed by the ATCM then the Secretariat should make the necessary changes to the texts of Site Guidelines on the website;4)	 that the Governments urge all those intending to visit such sites to ensure  that they are fully conversant with, and adhere to, the advice in the relevant Site Guidelines as published by the Secretariat; and5)	that the Secretariat post the texts of Resolution 5 (2005) and Resolution 4 (2009) on its website in a way that makes clear that they are no longer current.",Resolution 1,2010,ATCM XXXIII,CEP XIII,
